Sep 17, 2025 11:33:43.885938073 CEST			
Sep 17, 2025 11:33:43.921408681 CEST			
Sep 17, 2025 11:33:43.922835553 CEST			
Sep 17, 2025 11:33:43.943888417 CEST			
Sep 17, 2025 11:33:44.051112646 CEST			
Sep 17, 2025 11:33:44.113126332 CEST	140.77.13.73	192.168.42.1	
Sep 17, 2025 11:33:44.482438540 CEST			
Sep 17, 2025 11:33:44.564161790 CEST			
Sep 17, 2025 11:33:44.621850834 CEST	34.120.52.64	140.77.13.73	443,58732
Sep 17, 2025 11:33:44.621917098 CEST	140.77.13.73	34.120.52.64	58732,443
Sep 17, 2025 11:33:44.623216476 CEST	140.77.13.73	34.120.52.64	58732,443
Sep 17, 2025 11:33:44.627941246 CEST	34.120.52.64	140.77.13.73	443,58732
Sep 17, 2025 11:33:44.639564019 CEST	140.77.13.143	239.255.255.250	
Sep 17, 2025 11:33:44.639927671 CEST	140.77.13.143	239.255.255.250	
Sep 17, 2025 11:33:44.693962680 CEST			
Sep 17, 2025 11:33:44.801659174 CEST	34.120.52.64	140.77.13.73	443,56236
Sep 17, 2025 11:33:44.801725275 CEST	140.77.13.73	34.120.52.64	56236,443
Sep 17, 2025 11:33:44.802809520 CEST	140.77.13.73	34.120.52.64	56236,443
Sep 17, 2025 11:33:44.807750184 CEST	34.120.52.64	140.77.13.73	443,56236
Sep 17, 2025 11:33:44.813533086 CEST			
Sep 17, 2025 11:33:44.878989702 CEST			
Sep 17, 2025 11:33:44.939117226 CEST			
Sep 17, 2025 11:33:45.067141183 CEST			
Sep 17, 2025 11:33:45.137307344 CEST	140.77.13.73	192.168.42.1	
Sep 17, 2025 11:33:45.145185480 CEST			
Sep 17, 2025 11:33:45.423817124 CEST			
Sep 17, 2025 11:33:45.463308272 CEST			
Sep 17, 2025 11:33:45.863381423 CEST			
Sep 17, 2025 11:33:45.926025593 CEST			
Sep 17, 2025 11:33:45.926767910 CEST			
Sep 17, 2025 11:33:45.977501276 CEST			
Sep 17, 2025 11:33:46.161253006 CEST	140.77.13.73	192.168.42.1	
Sep 17, 2025 11:33:46.229026748 CEST			
Sep 17, 2025 11:33:46.491276623 CEST			
Sep 17, 2025 11:33:46.491647862 CEST			
Sep 17, 2025 11:33:46.579169276 CEST			
Sep 17, 2025 11:33:46.581187038 CEST			
Sep 17, 2025 11:33:46.620524559 CEST			
Sep 17, 2025 11:33:46.625690683 CEST			
Sep 17, 2025 11:33:46.653581458 CEST	140.77.13.73	172.217.171.206	
Sep 17, 2025 11:33:46.659802807 CEST	172.217.171.206	140.77.13.73	
Sep 17, 2025 11:33:46.668519722 CEST			
Sep 17, 2025 11:33:46.673204004 CEST	140.77.13.73	140.77.167.50	43354,443
Sep 17, 2025 11:33:46.673658783 CEST	140.77.167.50	140.77.13.73	443,43354
Sep 17, 2025 11:33:46.854711796 CEST			
Sep 17, 2025 11:33:46.969917849 CEST			
Sep 17, 2025 11:33:46.969917992 CEST	192.168.1.250	224.0.0.251	
Sep 17, 2025 11:33:47.016701340 CEST			
Sep 17, 2025 11:33:47.044413439 CEST			
Sep 17, 2025 11:33:47.135696193 CEST	192.168.1.250	224.0.0.251	
Sep 17, 2025 11:33:47.185138466 CEST	140.77.13.73	192.168.42.1	
Sep 17, 2025 11:33:47.190237857 CEST			
Sep 17, 2025 11:33:47.255165568 CEST			
Sep 17, 2025 11:33:47.259930236 CEST			
Sep 17, 2025 11:33:47.291470427 CEST			
Sep 17, 2025 11:33:47.437185818 CEST			
Sep 17, 2025 11:33:47.597067765 CEST			
Sep 17, 2025 11:33:47.815193030 CEST			
Sep 17, 2025 11:33:47.852131398 CEST			
Sep 17, 2025 11:33:47.862811289 CEST			
Sep 17, 2025 11:33:47.866077366 CEST	34.120.52.64	140.77.13.73	443,56884
Sep 17, 2025 11:33:47.866151347 CEST	140.77.13.73	34.120.52.64	56884,443
Sep 17, 2025 11:33:47.867397560 CEST	140.77.13.73	34.120.52.64	56884,443
Sep 17, 2025 11:33:47.872270707 CEST	34.120.52.64	140.77.13.73	443,56884
Sep 17, 2025 11:33:47.922968997 CEST			
Sep 17, 2025 11:33:47.970109896 CEST			
Sep 17, 2025 11:33:47.970110042 CEST	192.168.1.250	224.0.0.251	
Sep 17, 2025 11:33:48.031022084 CEST			
Sep 17, 2025 11:33:48.209308983 CEST	140.77.13.73	192.168.42.1	
Sep 17, 2025 11:33:48.284210891 CEST	34.120.52.64	140.77.13.73	443,56884
Sep 17, 2025 11:33:48.284277318 CEST	140.77.13.73	34.120.52.64	56884,443
Sep 17, 2025 11:33:48.285307758 CEST	140.77.13.73	34.120.52.64	56884,443
Sep 17, 2025 11:33:48.290212647 CEST	34.120.52.64	140.77.13.73	443,56884
Sep 17, 2025 11:33:48.315815169 CEST			
