
==================================================================
| IO Statistics                                                  |
|                                                                |
| Duration: 300.408637 secs                                      |
| Interval:   1 secs                                             |
|                                                                |
| Col 1: tcp                                                     |
|     2: tcp.analysis.lost_segment                               |
|     3: tcp.analysis.retransmission                             |
|----------------------------------------------------------------|
|            |1                |2               |3               |
| Interval   | Frames |  Bytes | Frames | Bytes | Frames | Bytes |
|----------------------------------------------------------------|
|   0 <>   1 |     52 |  20045 |      0 |     0 |      0 |     0 |
|   1 <>   2 |     34 |  27268 |      0 |     0 |      0 |     0 |
|   2 <>   3 |     58 |  30689 |      0 |     0 |      0 |     0 |
|   3 <>   4 |     17 |   1556 |      0 |     0 |      0 |     0 |
|   4 <>   5 |      5 |    369 |      0 |     0 |      0 |     0 |
|   5 <>   6 |      3 |    256 |      0 |     0 |      0 |     0 |
|   6 <>   7 |      0 |      0 |      0 |     0 |      0 |     0 |
|   7 <>   8 |      6 |    918 |      0 |     0 |      0 |     0 |
|   8 <>   9 |      8 |    722 |      0 |     0 |      0 |     0 |
|   9 <>  10 |     12 |    952 |      0 |     0 |      0 |     0 |
|  10 <>  11 |      0 |      0 |      0 |     0 |      0 |     0 |
|  11 <>  12 |      3 |    459 |      0 |     0 |      0 |     0 |
|  12 <>  13 |      0 |      0 |      0 |     0 |      0 |     0 |
|  13 <>  14 |      2 |    132 |      0 |     0 |      0 |     0 |
|  14 <>  15 |      0 |      0 |      0 |     0 |      0 |     0 |
|  15 <>  16 |      3 |    250 |      0 |     0 |      0 |     0 |
|  16 <>  17 |     18 |   7890 |      0 |     0 |      0 |     0 |
|  17 <>  18 |      0 |      0 |      0 |     0 |      0 |     0 |
|  18 <>  19 |     29 |  15203 |      0 |     0 |      0 |     0 |
|  19 <>  20 |     23 |   2599 |      1 |   266 |      0 |     0 |
|  20 <>  21 |      3 |    256 |      0 |     0 |      0 |     0 |
|  21 <>  22 |     10 |   1606 |      0 |     0 |      0 |     0 |
|  22 <>  23 |      6 |    918 |      0 |     0 |      0 |     0 |
|  23 <>  24 |     79 |  34048 |      0 |     0 |      0 |     0 |
|  24 <>  25 |     27 |  11783 |      0 |     0 |      0 |     0 |
|  25 <>  26 |      4 |    623 |      0 |     0 |      0 |     0 |
|  26 <>  27 |      4 |    525 |      0 |     0 |      0 |     0 |
|  27 <>  28 |      0 |      0 |      0 |     0 |      0 |     0 |
|  28 <>  29 |      4 |    288 |      0 |     0 |      0 |     0 |
|  29 <>  30 |     53 | 112189 |      0 |     0 |      0 |     0 |
|  30 <>  31 |      4 |    322 |      0 |     0 |      0 |     0 |
|  31 <>  32 |      4 |    344 |      0 |     0 |      0 |     0 |
|  32 <>  33 |      4 |    344 |      0 |     0 |      0 |     0 |
|  33 <>  34 |     10 |   1396 |      0 |     0 |      0 |     0 |
|  34 <>  35 |      0 |      0 |      0 |     0 |      0 |     0 |
|  35 <>  36 |      3 |    250 |      0 |     0 |      0 |     0 |
|  36 <>  37 |     17 |   1983 |      0 |     0 |      0 |     0 |
|  37 <>  38 |      8 |   1050 |      0 |     0 |      0 |     0 |
|  38 <>  39 |      0 |      0 |      0 |     0 |      0 |     0 |
|  39 <>  40 |      8 |    722 |      0 |     0 |      0 |     0 |
|  40 <>  41 |      2 |    132 |      0 |     0 |      0 |     0 |
|  41 <>  42 |      4 |    525 |      0 |     0 |      0 |     0 |
|  42 <>  43 |      4 |    264 |      0 |     0 |      0 |     0 |
|  43 <>  44 |      0 |      0 |      0 |     0 |      0 |     0 |
|  44 <>  45 |     14 |    982 |      0 |     0 |      0 |     0 |
|  45 <>  46 |      6 |    454 |      0 |     0 |      0 |     0 |
|  46 <>  47 |      4 |    264 |      0 |     0 |      0 |     0 |
|  47 <>  48 |      0 |      0 |      0 |     0 |      0 |     0 |
|  48 <>  49 |      6 |    396 |      0 |     0 |      0 |     0 |
|  49 <>  50 |      0 |      0 |      0 |     0 |      0 |     0 |
|  50 <>  51 |      0 |      0 |      0 |     0 |      0 |     0 |
|  51 <>  52 |      0 |      0 |      0 |     0 |      0 |     0 |
|  52 <>  53 |      8 |   1050 |      0 |     0 |      0 |     0 |
