Interval,toatl_packet,Loss_packet,Loss_Bytes,Retrans_Frames,Retrans_Bytes,Throughput_Bytes_per_sec,loss_percent,loss_percent2
0-1,26,1,150,0,0,3541.0,3.8461538461538463,3.8461538461538463
1-2,3690,48,73512,2,1528,4381134.0,1.3008130081300813,1.3550135501355014
2-3,1560,27,41234,12,14846,1556014.0,1.7307692307692308,2.5
3-4,2122,30,46170,3,4398,2352146.0,1.413760603204524,1.5551366635249764
4-5,177,2,1608,0,0,76711.0,1.1299435028248588,1.1299435028248588
5-6,22,0,0,0,0,3272.0,0.0,0.0
6-7,94,3,1753,7,10742,46236.0,3.1914893617021276,10.638297872340425
7-8,117,1,1466,1,1466,52561.0,0.8547008547008548,1.7094017094017095
8-9,68,0,0,0,0,20399.0,0.0,0.0
9-10,447,18,23716,0,0,456149.0,4.026845637583892,4.026845637583892
10-11,774,25,36554,1,105,854417.0,3.229974160206718,3.359173126614987
11-12,28,1,150,0,0,3456.0,3.571428571428571,3.571428571428571
12-13,4,0,0,0,0,976.0,0.0,0.0
13-14,56,2,396,0,0,11470.0,3.571428571428571,3.571428571428571
14-15,29,1,142,1,142,3556.0,3.4482758620689653,6.896551724137931
15-16,34,1,150,0,0,4301.0,2.941176470588235,2.941176470588235
16-17,25,0,0,0,0,3369.0,0.0,0.0
17-18,23,1,102,0,0,3098.0,4.3478260869565215,4.3478260869565215
18-19,22,1,190,0,0,3032.0,4.545454545454546,4.545454545454546
19-20,891,35,47330,1,2858,991904.0,3.928170594837262,4.040404040404041
20-21,18,1,150,0,0,2644.0,5.555555555555555,5.555555555555555
21-22,164,5,5338,0,0,120679.0,3.048780487804878,3.048780487804878
22-23,711,19,29174,0,0,868136.0,2.6722925457102673,2.6722925457102673
23-24,23,0,0,0,0,4093.0,0.0,0.0
24-25,10,0,0,0,0,1792.0,0.0,0.0
25-26,61,0,0,0,0,7482.0,0.0,0.0
26-27,24,1,303,0,0,3507.0,4.166666666666666,4.166666666666666
27-28,22,1,134,0,0,2980.0,4.545454545454546,4.545454545454546
28-29,25,1,134,0,0,3278.0,4.0,4.0
29-30,40,3,474,0,0,4944.0,7.5,7.5
30-31,5,0,0,2,2262,6514.0,0.0,40.0
31-32,0,0,0,0,0,0.0,0,0
32-33,0,0,0,0,0,0.0,0,0
33-34,0,0,0,0,0,0.0,0,0
34-35,1459,23,32616,32,44375,1605261.0,1.5764222069910898,3.7697052775873887
35-36,33,1,1514,2,132,10582.0,3.0303030303030303,9.090909090909092
36-37,22,0,0,0,0,2896.0,0.0,0.0
37-38,23,1,174,0,0,3125.0,4.3478260869565215,4.3478260869565215
38-39,93,0,0,0,0,31709.0,0.0,0.0
39-40,580,20,27922,1,1462,700946.0,3.4482758620689653,3.620689655172414
